lexeme                         lineno                         tokenName                      valueIfNumber                  parentNodeSymbol               isLeafNode                     NodeSymbol                    
---                            41                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            41                             ---                            ---                            var                            No                             singleOrRecId                 
---                            41                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            41                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            41                             ---                            ---                            booleanExpression              No                             var                           
---                            41                             TK_CL                          ---                            iterativeStmt                  Yes                           ---                           
---                            42                             TK_SQL                         ---                            outputParameters               Yes                           ---                           
---                            42                             ---                            ---                            funCallStmt                    No                             outputParameters              
---                            42                             TK_ID                          ---                            idList                         Yes                           ---                           
---                            42                             ---                            ---                            outputParameters               No                             idList                        
---                            42                             ---                            ---                            more_ids                       Yes                           EPSILON                       
---                            42                             ---                            ---                            idList                         No                             more_ids                      
---                            42                             TK_SQR                         ---                            outputParameters               Yes                           ---                           
---                            42                             TK_ASSIGNOP                    ---                            outputParameters               Yes                           ---                           
---                            42                             ---                            ---                            stmt                           No                             funCallStmt                   
---                            42                             TK_CALL                        ---                            funCallStmt                    Yes                           ---                           
---                            42                             TK_FUNID                       ---                            funCallStmt                    Yes                           ---                           
---                            42                             TK_WITH                        ---                            funCallStmt                    Yes                           ---                           
---                            42                             TK_PARAMETERS                  ---                            funCallStmt                    Yes                           ---                           
---                            42                             TK_SQL                         ---                            inputParameters                Yes                           ---                           
---                            42                             ---                            ---                            funCallStmt                    No                             inputParameters               
---                            42                             TK_ID                          ---                            idList                         Yes                           ---                           
---                            42                             ---                            ---                            inputParameters                No                             idList                        
---                            42                             ---                            ---                            more_ids                       Yes                           EPSILON                       
---                            42                             ---                            ---                            idList                         No                             more_ids                      
---                            42                             TK_SQR                         ---                            inputParameters                Yes                           ---                           
---                            42                             TK_SEM                         ---                            funCallStmt                    Yes                           ---                           
---                            41                             ---                            ---                            iterativeStmt                  No                             stmt                          
---                            43                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            43                             ---                            ---                            assignmentStmt                 No                             singleOrRecId                 
---                            43                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            43                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            43                             ---                            ---                            stmt                           No                             assignmentStmt                
---                            43                             TK_ASSIGNOP                    ---                            assignmentStmt                 Yes                           ---                           
---                            43                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            43                             ---                            ---                            var                            No                             singleOrRecId                 
---                            43                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            43                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
